SNR_dB	RollOff	MSE
18	0.25	4.884825e-01
18	0.30	4.443259e-01
18	0.35	4.023214e-01
18	0.40	4.210822e-01
18	0.45	4.270475e-01
18	0.50	4.109834e-01
18	0.55	4.105276e-01
18	0.60	4.235303e-01
18	0.65	4.151801e-01
18	0.70	4.139145e-01
18	0.75	4.197605e-01
18	0.80	4.073149e-01
18	0.85	4.058420e-01
18	0.90	4.053150e-01
18	0.95	4.072157e-01
18	1.00	4.199390e-01

19	0.00	2.192697e+00
19	0.05	2.309788e+00
19	0.10	1.279966e+00
19	0.15	5.214583e-01
19	0.20	4.057200e-01
19	0.25	4.651967e-01
19	0.30	4.342208e-01
19	0.35	3.994655e-01
19	0.40	4.177447e-01
19	0.45	4.176516e-01
19	0.50	4.040000e-01
19	0.55	3.964314e-01
19	0.60	4.079898e-01
19	0.65	3.999313e-01
19	0.70	3.973838e-01
19	0.75	4.041580e-01
19	0.80	4.089424e-01
19	0.85	4.066847e-01
19	0.90	4.110051e-01
19	0.95	4.073849e-01
19	1.00	4.003029e-01

20	0.00	2.181970e+00
20	0.05	2.298243e+00
20	0.10	1.286312e+00
20	0.15	5.126653e-01
20	0.20	4.038727e-01
20	0.25	4.557638e-01
20	0.30	4.190973e-01
20	0.35	3.921963e-01
20	0.40	4.109365e-01
20	0.45	3.999748e-01
20	0.50	3.859043e-01
20	0.55	3.854209e-01
20	0.60	4.053461e-01
20	0.65	3.884251e-01
20	0.70	3.863325e-01
20	0.75	3.996134e-01
20	0.80	3.883774e-01
20	0.85	3.910111e-01
20	0.90	3.936138e-01
20	0.95	3.972541e-01
20	1.00	3.903542e-01

